# EoSType = ColdBetaYe
# Nrho=4000
# RhoMin=   0.161865E-09    RhoMax=   0.161865E-02
# RhoSpacing = Log
#  rho           eps             P              cs^2
   2.335843E-10  -9.342931E-03   5.082405E-14   2.976380E-04
   2.345277E-10  -9.342088E-03   5.109876E-14   2.980271E-04
   2.354748E-10  -9.341245E-03   5.137497E-14   2.984162E-04
   2.364258E-10  -9.340399E-03   5.165266E-14   2.988051E-04
   2.373807E-10  -9.339553E-03   5.193184E-14   2.991941E-04
   2.383394E-10  -9.338705E-03   5.221256E-14   2.995830E-04
   2.393020E-10  -9.337856E-03   5.249477E-14   2.999719E-04
   2.402684E-10  -9.337006E-03   5.277853E-14   3.003607E-04
   2.412388E-10  -9.336154E-03   5.306381E-14   3.007495E-04
   2.422131E-10  -9.335302E-03   5.335064E-14   3.011383E-04
   2.431913E-10  -9.334447E-03   5.363901E-14   3.015269E-04
   2.441735E-10  -9.333592E-03   5.392893E-14   3.019155E-04
   2.451596E-10  -9.332735E-03   5.422044E-14   3.023042E-04
   2.461497E-10  -9.331877E-03   5.451353E-14   3.026928E-04
   2.471438E-10  -9.331018E-03   5.480818E-14   3.030813E-04
   2.481420E-10  -9.330157E-03   5.510443E-14   3.034697E-04
   2.491441E-10  -9.329296E-03   5.540229E-14   3.038582E-04
   2.501503E-10  -9.328433E-03   5.570172E-14   3.042486E-04
   2.511606E-10  -9.327570E-03   5.600245E-14   3.046539E-04
   2.521750E-10  -9.326707E-03   5.630481E-14   3.050591E-04
   2.531934E-10  -9.325842E-03   5.660879E-14   3.054643E-04
   2.542160E-10  -9.324976E-03   5.691441E-14   3.058693E-04
   2.552427E-10  -9.324109E-03   5.722168E-14   3.062744E-04
   2.562735E-10  -9.323240E-03   5.753063E-14   3.066795E-04
   2.573085E-10  -9.322370E-03   5.784123E-14   3.070844E-04
   2.583477E-10  -9.321499E-03   5.815353E-14   3.074894E-04
   2.593911E-10  -9.320627E-03   5.846749E-14   3.078942E-04
   2.604387E-10  -9.319753E-03   5.878316E-14   3.082991E-04
   2.614905E-10  -9.318878E-03   5.910052E-14   3.087038E-04
   2.625466E-10  -9.318001E-03   5.941962E-14   3.091086E-04
   2.636069E-10  -9.317123E-03   5.974041E-14   3.095133E-04
   2.646715E-10  -9.316244E-03   6.006294E-14   3.099179E-04
   2.657404E-10  -9.315364E-03   6.038723E-14   3.103225E-04
   2.668137E-10  -9.314482E-03   6.071325E-14   3.107270E-04
   2.678912E-10  -9.313599E-03   6.104106E-14   3.111316E-04
   2.689732E-10  -9.312714E-03   6.137061E-14   3.115359E-04
   2.700595E-10  -9.311829E-03   6.170196E-14   3.119404E-04
   2.711501E-10  -9.310942E-03   6.203508E-14   3.123447E-04
   2.722452E-10  -9.310053E-03   6.237002E-14   3.127491E-04
   2.733447E-10  -9.309164E-03   6.270674E-14   3.131533E-04
   2.744487E-10  -9.308273E-03   6.304531E-14   3.135575E-04
   2.755571E-10  -9.307380E-03   6.338568E-14   3.139616E-04
   2.766700E-10  -9.306486E-03   6.372791E-14   3.143658E-04
   2.777873E-10  -9.305591E-03   6.407197E-14   3.147698E-04
   2.789092E-10  -9.304695E-03   6.441791E-14   3.151739E-04
   2.800357E-10  -9.303797E-03   6.476569E-14   3.155778E-04
   2.811666E-10  -9.302898E-03   6.511538E-14   3.159817E-04
   2.823022E-10  -9.301998E-03   6.546693E-14   3.163855E-04
   2.834423E-10  -9.301096E-03   6.582040E-14   3.167894E-04
   2.845870E-10  -9.300194E-03   6.617567E-14   3.171975E-04
   2.857364E-10  -9.299292E-03   6.653252E-14   3.176187E-04
   2.868904E-10  -9.298389E-03   6.689130E-14   3.180400E-04
   2.880490E-10  -9.297484E-03   6.725201E-14   3.184611E-04
   2.892123E-10  -9.296579E-03   6.761467E-14   3.188822E-04
   2.903804E-10  -9.295671E-03   6.797929E-14   3.193033E-04
